input video is, 640x480 @60.0 11204
0,1
1,2
2,1
3,3
4,4
5,5
6,4
7,5
8,5
9,9
10,9
11,9
12,11
13,12
14,9
15,14
16,10
17,14
18,16
19,15
20,15
21,15
22,14
23,16
24,20
25,18
26,21
27,23
28,18
29,16
30,19
31,15
32,17
33,18
34,15
35,18
36,22
37,22
38,22
39,24
40,21
41,23
42,22
43,21
44,22
45,24
46,24
47,25
48,30
49,27
50,23
51,20
52,22
53,23
54,22
55,27
56,31
57,36
58,36
59,28
60,34
61,30
62,30
63,40
64,34
65,33
66,32
67,28
68,27
69,34
70,25
71,31
72,29
73,28
74,32
75,31
76,23
77,24
78,32
79,30
80,25
81,29
82,32
83,26
84,31
85,28
86,32
87,29
88,32
89,32
90,39
91,33
92,28
93,34
94,33
95,34
96,35
97,29
98,33
99,39
100,33
101,36
102,35
103,34
104,33
105,34
106,27
107,31
108,34
109,26
110,35
111,31
112,31
113,34
114,36
115,33
116,35
117,37
118,38
119,37
120,47
121,44
122,41
123,38
124,38
125,32
126,39
127,40
128,33
129,36
130,41
131,35
132,37
133,29
134,37
135,44
136,41
137,35
138,37
139,38
140,35
141,45
142,38
143,34
144,38
145,30
146,27
147,34
148,31
149,26
150,32
151,39
152,35
153,39
154,39
155,47
156,43
157,41
158,40
159,38
160,40
161,30
162,36
163,35
164,34
165,43
166,44
167,39
168,38
169,34
170,35
171,29
172,31
173,30
174,33
175,35
176,33
177,35
178,37
179,32
180,37
181,38
182,38
183,37
184,39
185,44
186,51
187,52
188,48
189,53
190,48
191,44
192,43
193,43
194,40
195,40
196,42
197,46
198,35
199,39
200,39
201,43
202,50
203,40
204,40
205,38
206,34
207,33
208,35
209,39
210,44
211,40
212,41
213,46
214,39
215,38
216,39
217,40
218,41
219,42
220,43
221,41
222,44
223,39
224,42
225,44
226,39
227,42
228,42
229,46
230,38
231,44
232,46
233,44
234,44
235,49
236,41
237,53
238,43
239,52
240,49
241,41
242,44
243,45
244,46
245,45
246,48
247,46
248,47
249,56
250,47
251,45
252,50
253,50
254,50
255,51
256,52
257,44
258,59
259,55
260,52
261,57
262,56
263,58
264,59
265,51
266,50
267,52
268,52
269,51
270,59
271,50
272,58
273,59
274,59
275,58
276,57
277,54
278,51
279,55
280,54
281,60
282,62
283,55
284,55
285,63
286,57
287,50
288,52
289,64
290,64
291,67
292,62
293,57
294,57
295,60
296,68
297,76
298,80
299,75
300,75
301,63
302,63
303,66
304,65
305,67
306,63
307,69
308,65
309,67
310,65
311,63
312,65
313,67
314,67
315,66
316,64
317,65
318,62
319,58
320,65
321,63
322,56
323,57
324,62
325,55
326,52
327,57
328,57
329,61
330,68
331,67
332,66
333,60
334,52
335,52
336,57
337,59
338,60
339,70
340,72
341,68
342,71
343,62
344,60
345,60
346,67
347,62
348,65
349,65
350,66
351,67
352,62
353,59
354,66
355,56
356,52
357,61
358,54
359,63
360,66
361,62
362,63
363,66
364,63
365,60
366,71
367,70
368,61
369,64
370,66
371,71
372,80
373,72
374,69
375,70
376,57
377,63
378,65
379,63
380,64
381,58
382,65
383,62
384,64
385,64
386,61
387,64
388,61
389,70
390,71
391,72
392,71
393,68
394,67
395,69
396,77
397,63
398,63
399,65
400,69
401,62
402,65
403,67
404,59
405,68
406,62
407,65
408,74
409,71
410,71
411,72
412,74
413,69
414,81
415,79
416,73
417,73
418,75
419,86
420,90
421,84
422,86
423,92
424,80
425,79
426,78
427,72
428,78
429,80
430,81
431,74
432,73
433,72
434,78
435,84
436,74
437,75
438,84
439,75
440,76
441,82
442,80
443,85
444,79
445,70
446,73
447,74
448,72
449,77
450,82
451,83
452,78
453,79
454,78
455,79
456,79
457,77
458,69
459,72
460,72
461,70
462,71
463,66
464,81
465,79
466,75
467,81
468,78
469,77
470,81
471,88
472,92
473,88
474,93
475,91
476,85
477,89
478,87
479,85
480,97
481,98
482,87
483,91
484,91
485,90
486,91
487,88
488,97
489,98
490,91
491,96
492,97
493,106
494,101
495,89
496,87
497,89
498,90
499,93
500,89
501,75
502,90
503,82
504,90
505,95
506,94
507,93
508,86
509,84
510,84
511,85
512,96
513,104
514,91
515,95
516,94
517,94
518,89
519,93
520,95
521,89
522,96
523,88
524,99
525,105
526,104
527,100
528,100
529,88
530,103
531,96
532,94
533,94
534,98
535,98
536,95
537,102
538,89
539,90
540,88
541,102
542,103
543,104
544,104
545,106
546,109
547,106
548,100
549,110
550,96
551,103
552,103
553,104
554,114
555,115
556,107
557,109
558,110
559,97
560,102
561,100
562,98
563,97
564,112
565,109
566,100
567,104
568,107
569,102
570,111
571,108
572,104
573,110
574,103
575,101
576,109
577,104
578,116
579,104
580,110
581,109
582,108
583,116
584,103
585,109
586,101
587,112
588,112
589,108
590,116
591,109
592,115
593,108
594,109
595,98
596,108
597,128
598,116
599,108
600,122
601,118
602,118
603,120
604,108
605,111
606,107
607,107
608,109
609,117
610,110
611,101
612,105
613,108
614,108
615,114
616,103
617,106
618,107
619,106
620,112
621,118
622,124
623,115
624,126
625,111
626,110
627,110
628,106
629,101
630,109
631,105
632,105
633,105
634,107
635,110
636,110
637,103
638,107
639,116
640,116
641,122
642,127
643,123
644,116
645,131
646,130
647,121
648,117
649,115
650,115
651,120
652,116
653,120
654,120
655,125
656,128
657,139
658,121
659,125
660,132
661,127
662,135
663,133
664,138
665,138
666,133
667,127
668,124
669,124
670,127
671,122
672,128
673,129
674,119
675,127
676,130
677,143
678,140
679,143
680,140
681,136
682,138
683,128
684,140
685,148
686,151
687,140
688,136
689,131
690,138
691,143
692,133
693,134
694,139
695,136
696,146
697,129
698,125
699,138
700,138
701,138
702,144
703,145
704,143
705,156
706,148
707,145
708,138
709,138
710,132
711,139
712,135
713,139
714,145
715,142
716,136
717,142
718,134
719,129
720,122
721,127
722,125
723,126
724,129
725,132
726,135
727,129
728,130
729,126
730,128
731,120
732,122
733,117
734,121
735,121
736,126
737,129
738,135
739,130
740,123
741,136
742,124
743,125
744,128
745,125
746,132
747,137
748,137
749,133
750,127
751,139
752,131
753,138
754,144
755,138
756,140
757,140
758,122
759,123
760,125
761,137
762,139
763,131
764,130
765,131
766,124
767,130
768,136
769,119
770,133
771,125
772,121
773,144
774,133
775,133
776,136
777,148
778,144
779,142
780,141
781,137
782,142
783,145
784,144
785,148
786,138
787,141
788,142
789,135
790,136
791,120
792,127
793,126
794,126
795,138
796,134
797,124
798,136
799,124
800,128
801,139
802,136
803,153
804,143
805,145
806,146
807,147
808,137
809,142
810,139
811,129
812,129
813,138
814,134
815,139
816,142
817,137
818,134
819,138
820,138
821,146
822,160
823,140
824,144
825,139
826,136
827,146
828,150
829,140
830,145
831,132
832,133
833,140
834,159
835,149
836,149
837,147
838,140
839,147
840,143
841,142
842,141
843,141
844,138
845,147
846,137
847,153
848,143
849,159
850,151
851,145
852,142
853,139
854,132
855,144
856,143
857,148
858,148
859,148
860,131
861,145
862,144
863,144
864,147
865,147
866,132
867,139
868,136
869,142
870,136
871,123
872,122
873,122
874,137
875,139
876,144
877,134
878,138
879,153
880,141
881,143
882,146
883,144
884,147
885,145
886,149
887,158
888,166
889,152
890,153
891,159
892,148
893,151
894,150
895,150
896,154
897,153
898,160
899,162
900,175
901,159
902,159
903,165
904,169
905,177
906,161
907,146
908,150
909,150
910,140
911,141
912,154
913,148
914,125
915,132
916,134
917,134
918,149
919,132
920,138
921,132
922,147
923,135
924,143
925,137
926,133
927,130
928,128
929,132
930,152
931,140
932,164
933,167
934,155
935,148
936,155
937,153
938,159
939,176
940,165
941,163
942,155
943,152
944,159
945,155
946,152
947,152
948,168
949,159
950,167
951,171
952,158
953,169
954,168
955,150
956,151
957,150
958,139
959,156
960,146
