count,x,y,radius,density
82,357.02,252.99,23.79,0.04
89,354.45,250.49,24.86,0.04
97,369.9,256.51,26.85,0.04
79,366.88,245.13,26,0
96,350,219.42,27.77,0
65,316.1,183.04,21.86,0
62,313.61,189.47,23.13,0
65,289.88,165.69,22.96,0
83,303.08,230,29.36,0
89,304.89,235.6,30.72,0
93,318.79,260.29,31,0
91,339.45,264.04,29.63,0.98
102,295.56,245.95,31.05,0
107,267.32,231.29,30.66,0
106,272.01,241.28,31.35,0
99,260.74,240.15,29.43,0
148,278.31,248.59,35.47,0
187,300.85,242.73,39.38,0.1
189,315.59,243.2,41.11,0.1
225,316.93,227.78,42.72,0.09
239,337.17,231.11,44.96,0.13
214,342.92,228.98,43.49,0.16
206,353.06,235.21,43.1,0.19
212,344.16,219.6,43.63,0.11
176,362.28,231.57,43.91,0.5
187,362.08,222.95,43.69,0.09
177,356.79,223.59,42.47,0.09
165,388.29,218.25,41.36,0.02
163,404.39,229.48,41.22,0
161,401.81,236.31,40.44,0
138,371.47,236.36,36.84,0.22
152,376.25,247.7,38.31,0.39
165,348.72,259.49,38.87,1.16
171,351.41,263.87,37.5,1.01
177,350.39,265.83,37.93,1.37
203,356.73,263.61,40.42,1.01
233,369.39,249.86,44.1,0.54
230,370.31,248.04,45.21,0.62
223,353.86,253.81,42.33,0.71
392,417.73,203.63,57.91,0
431,432.21,176.17,63.37,0
443,432.02,170.93,61.77,0
445,441.27,168.08,62.63,0
423,447.19,155.13,62.12,0
349,447.39,158.22,57.87,0.03
347,449.36,160.79,58.09,0.03
335,445.97,161.5,57.97,0.03
321,447.82,164.91,56.61,0.04
322,439.9,170.91,56.2,0.02
308,432.89,167.43,54.03,0.02
306,435.01,169.52,52.48,0.02
326,416.7,172.91,53.94,0.02
312,396.22,185.04,54.27,0
305,383.38,194.84,48.96,0
313,372.75,194.74,49.06,0
288,353.32,218.48,45.32,0
257,348.38,202.91,42.59,0
247,354.61,209.7,40.77,0
244,373.08,216,44.25,0
240,374.49,198.01,42.34,0
223,378.82,207.52,42.95,0
